workerId,postId,experimentID,formerTask,latterTask,formerClicks,formerTime,formerClickorder,formerClicktime,formerScenarioTime,latterClicks,latterTime,latterClickorder,latterClicktime,latterScenarioTime
"workerId","postId","experimentID","formerTask","latterTask","_clicks_GOC,AOC,GRM,ARM_teach","_time_GOC,AOC,GRM,ARM_teach","_clickorder_GOC,AOC,GRM,ARM_teach","_clicktime_GOC,AOC,GRM,ARM_teach","_scenariotime_GOC,AOC,GRM,ARM_teach","_clicks_GOC,AOC,GRM,ARM_walkthrough","_time_GOC,AOC,GRM,ARM_walkthrough","_clickorder_GOC,AOC,GRM,ARM_walkthrough","_clicktime_GOC,AOC,GRM,ARM_walkthrough","_scenariotime_GOC,AOC,GRM,ARM_walkthrough"
"A3KCZB9IL6CVH","ij7vp1gh","GOC,AOC,GRM,ARM","teach","walkthrough","7","39880","b3b,b3a,b2,b1,b4a,b4b,bb","10831,20490,21720,22551,23535,24143,39879","39880","3","84922","b1,b2,bb","76233,82649,84922","84922"
"A1OQ52KDFMOJGR","ij7w3308","GOC,AOC,GRM,ARM","teach","walkthrough","1","170753","bb","170753","170752","3","265000","b1,b2,bb","189296,253064,265000","265000"
"A2L73JKDFWI0KJ","ij7vjh9r","GOC,AOC,GRM,ARM","teach","walkthrough","4","261100","b4a,b4b,b2,bb","208517,228557,254178,261100","261099","3","128732","b1,b2,bb","108824,122915,128732","128732"
"AH3ER3EJXHRO2","ij7xnhiz","GOC,AOC,GRM,ARM","teach","walkthrough","7","43937","b3a,b2,b4a,b1,b3b,b4b,bb","34403,36257,38105,40021,41856,42948,43937","43937","3","48476","b1,b2,bb","38969,43207,48476","48472"
"A1YJKLVJW1FE33","ij7w2zp2","GOC,AOC,GRM,ARM","teach","walkthrough","1","10866","bb","10866","10866","3","48652","b1,b2,bb","38619,41915,48652","48652"
"A3UV55HC87DO9C","ij7vlhut","GOC,AOC,GRM,ARM","teach","walkthrough","7","48740","b1,b2,b4b,b4a,b3a,b3b,bb","29835,41066,44028,45292,46648,47802,48740","48740","3","108004","b1,b2,bb","91561,101677,108003","108004"
"ATADQXPHL10Y8","ij7x3ree","GOC,AOC,GRM,ARM","teach","walkthrough","1","34336","bb","34336","34336","3","88304","b1,b2,bb","83570,85206,88303","88303"
"A3037FNBVPPAY9","ij7wnka9","GOC,AOC,GRM,ARM","teach","walkthrough","3","135177","b2,b3b,bb","80065,129337,135177","135178","3","168288","b1,b2,bb","161049,164375,168288","168288"
"A3CIPCU2JPBHLJ","ij7xvvrp","GOC,AOC,GRM,ARM","teach","walkthrough","2","207493","b4a,bb","193802,207492","207493","3","378632","b1,b2,bb","360595,370085,378632","378631"
"a3pqugiqqbpr98","ij7wk81n","GOC,AOC,GRM,ARM","teach","walkthrough","2","8446","b2,bb","7150,8446","8446","3","92023","b1,b2,bb","81228,83140,92023","92023"
"A37E36IPU0BJX5","ij7x7bfl","GOC,AOC,GRM,ARM","teach","walkthrough","7","77475","b2,b3a,b3b,b4a,b4b,b1,bb","43115,51717,55779,59062,63202,68965,77475","77475","3","183127","b1,b2,bb","172060,181573,183127","183127"
" A1EH9BPKYXFBS5","ij7vnzre","GOC,AOC,GRM,ARM","teach","walkthrough","1","146966","bb","146966","146966","3","387992","b1,b2,bb","353649,361643,387992","387991"
"AAHZCL4LIPCBQ","ij7w5t5u","GOC,AOC,GRM,ARM","teach","walkthrough","7","24722","b3b,b3a,b2,b1,b4a,b4b,bb","18203,19877,20977,21522,22460,23218,24722","24721","3","137987","b1,b2,bb","123509,130011,137987","137986"
"A5TI9UQEPLNWI","ij7w7pfr","GOC,AOC,GRM,ARM","teach","walkthrough","1","235611","bb","235611","235611","3","263235","b1,b2,bb","215973,238280,263235","263235"
"A1JH50STB9BOB6","ij7zthxp","GOC,AOC,GRM,ARM","teach","walkthrough","1","94179","bb","94179","94179","3","233549","b1,b2,bb","196468,209876,233549","233549"
"A3UIDFZ7IUOTUO","ij7xfyk4","GOC,AOC,GRM,ARM","teach","walkthrough","7","84375","b2,b3b,b4a,b3a,b1,b4b,bb","43766,56968,63423,68291,71749,80056,84375","84375","3","89340","b1,b2,bb","63684,65331,89340","89339"
"A1V0NUMA2VA07M","ij7vkppk","GOC,AOC,GRM,ARM","teach","walkthrough","1","300676","bb","300676","300675","3","130822","b1,b2,bb","86311,92790,130822","130819"
"A1QCMNAD3O3L8","ij7xyvwv","GOC,AOC,GRM,ARM","teach","walkthrough","1","88858","bb","88858","88858","3","81823","b1,b2,bb","74407,78535,81823","81822"
"A224B7BAQ0MZSN","ij81g2x7","GOC,AOC,GRM,ARM","teach","walkthrough","2","126043","b4b,bb","111280,126043","126043","3","118788","b1,b2,bb","99956,115315,118788","118788"
"A2QGQOWEM9G55","ij7vkmh1","GOC,AOC,GRM,ARM","teach","walkthrough","7","108905","b1,b2,b3a,b3b,b4a,b4b,bb","55178,76265,82113,92343,99054,101815,108905","108905","3","332354","b1,b2,bb","298982,313213,332354","332354"
